|   HR | Name           |   RA2000 |   Dec2000 | Vmag |  B-V  | SED | SpType        |   Duplicity       |
|   98 | Bet Hyi        |  0:25:45 | -77:15:15 | 2.80 |  0.62 | G05 | G2IV          |                   |
|   99 | Ankaa          |  0:26:17 | -42:18:22 | 2.39 |  1.09 | K03 | K0III         |   0.1" dm=0.0     |
|  188 | Diphda         |  0:43:35 | -17:59:12 | 2.04 |  1.02 | K03 | G9.5IIICH-1   |                   |
|  472 | Achernar       |  1:37:43 | -57:14:12 | 0.46 | -0.16 | B55 | B3Vpe         |                   |
|  591 | Alp Hyi        |  1:58:46 | -61:34:11 | 2.86 |  0.28 | F05 | F0V           |                   |
| 1790 | Bellatrix      |  5:25:08 | +06:20:59 | 1.64 | -0.22 | B05 | B2III         |   179" dm=10.5    |
| 1865 | Arneb          |  5:32:44 | -17:49:20 | 2.58 |  0.21 | F05 | F0Ib          |   AB 36" dm=8.5   |
| 1903 | Alnilam        |  5:36:13 | -01:12:07 | 1.70 | -0.19 | B05 | B0Ia          |   180" dm=8.7     |
| 1956 | Phact          |  5:39:39 | -34:04:27 | 2.64 | -0.12 | B55 | B7IVe         |   14" dm=9.7      |
| 2004 | Saiph          |  5:47:45 | -09:40:11 | 2.06 | -0.17 | B05 | B0.5Ia        |                   |
| 2282 | Furud          |  6:20:19 | -30:03:48 | 3.02 | -0.19 | B05 | B2.5V         |   176" dm=4.6     |
| 2294 | Mirzam         |  6:22:42 | -17:57:21 | 1.98 | -0.23 | B05 | B1II-III      |   186" dm=7.8     |
| 2326 | Canopus        |  6:23:57 | -52:41:45 | 0.72 |  0.15 | F05 | F0II          |                   |
| 2491 | Sirius         |  6:45:09 | -16:42:58 | 1.46 |  0.00 | A05 | A1Vm          |   AB 11" dm=10.3  |
| 2553 | Tau Pup        |  6:49:56 | -50:36:53 | 2.93 |  1.20 | K03 | K1III         |                   |
| 2653 | Omi2 CMa       |  7:03:02 | -23:50:00 | 3.02 | -0.08 | B55 | B3Iab         |                   |
| 2693 | Wezen          |  7:08:24 | -26:23:36 | 1.84 |  0.68 | G03 | F8Ia          |                   |
| 2773 | Pi Pup         |  7:17:09 | -37:05:51 | 2.70 |  1.62 | K53 | K3Ib          |   69" dm=5.3      |
| 2827 | Aludra         |  7:24:06 | -29:18:11 | 2.45 | -0.08 | B55 | B5Ia          |   179" dm=4.5     |
| 2943 | Procyon        |  7:39:18 | +05:13:30 | 0.38 |  0.42 | F55 | F5IV-V        |   AC 4.6" dm=10.4 |
| 3185 | Rho Pup        |  8:07:33 | -24:18:15 | 2.81 |  0.43 | F55 | F6IIpDel      |   30" dm=10.9     |
| 3634 | Suhail         |  9:08:00 | -43:25:57 | 2.21 |  1.66 | K53 | K4.5Ib-II     |   18" dm=12.6     |
| 3685 | Miaplacidus    |  9:13:12 | -69:43:02 | 1.68 |  0.00 | A05 | A2IV          |                   |
| 3699 | Aspidiske      |  9:17:05 | -59:16:31 | 2.25 |  0.18 | F05 | A8Ib          |                   |
| 3734 | Kap Vel        |  9:22:07 | -55:00:39 | 2.50 | -0.18 | B05 | B2IV-V        |                   |
| 3748 | Alphard        |  9:27:35 | -08:39:31 | 1.98 |  1.44 | K53 | K3II-III      |   AB 283" dm=7.5  |
| 4199 | The Car        | 10:42:57 | -64:23:40 | 2.76 | -0.22 | B05 | B0Vp          |                   |
| 4216 | Mu  Vel        | 10:46:46 | -49:25:13 | 2.70 |  0.90 | G02 | G6III         |                   |
| 4621 | Del Cen        | 12:08:22 | -50:43:21 | 2.60 | -0.12 | B05 | B2IVne        |   AB 269" dm=1.9  |
| 4656 | Del Cru        | 12:15:09 | -58:44:56 | 2.80 | -0.23 | B05 | B2IV          |                   |
| 4662 | Gienah         | 12:15:48 | -17:32:31 | 2.55 | -0.11 | B08 | B8III         |                   |
| 4786 | Bet Crv        | 12:34:23 | -23:23:48 | 2.65 |  0.89 | G53 | G5II          |                   |
| 4798 | Alp Mus        | 12:37:11 | -69:08:08 | 2.69 | -0.20 | B05 | B2IV-V        |   30" dm=10.1     |
| 4819 | Gam Cen        | 12:41:31 | -48:57:36 | 2.18 | -0.02 | A05 | A1IV          |   CCDM12415-4858  |
| 4853 | Mimosa         | 12:47:43 | -59:41:19 | 1.25 | -0.23 | B05 | B0.5III       |   AC 372" dm=6.0  |
| 5020 | Gam Hya        | 13:18:55 | -23:10:18 | 3.00 |  0.92 | K03 | G8-IIIa       |   138" dm=6.7     |
| 5028 | Iot Cen        | 13:20:36 | -36:42:44 | 2.75 |  0.04 | A05 | A2V           |                   |
| 5056 | Spica          | 13:25:12 | -11:09:41 | 0.98 | -0.23 | B05 | B1III-IV+B2V  |    O 0.0" dm=1.5  |
| 5132 | Eps Cen        | 13:39:53 | -53:27:59 | 2.30 | -0.22 | B05 | B1III         |   37" dm=8.4      |
| 5193 | Mu  Cen        | 13:49:37 | -42:28:26 | 3.04 | -0.17 | B05 | B2IV-Ve       |   48" dm=10.7     |
| 5231 | Zet Cen        | 13:55:32 | -47:17:18 | 2.55 | -0.22 | B05 | B2.5IV        |                   |
| 5288 | The Cen        | 14:06:41 | -36:22:12 | 2.06 |  1.01 | K03 | K0-IIIb       |   70" dm=12.0     |
| 5440 | Eta Cen        | 14:35:30 | -42:09:28 | 2.31 | -0.19 | B05 | B1.5Vne       |                   |
| 5469 | Alp Lup        | 14:41:56 | -47:23:18 | 2.30 | -0.20 | B05 | B1.5III/Vn    |   28" dm=11.1     |
| 5531 | Zubenelgenubi  | 14:50:53 | -16:02:30 | 2.75 |  0.15 | A55 | A3IV          |    O 0.0" dm=0.4  |
| 5571 | Bet Lup        | 14:58:32 | -43:08:02 | 2.68 | -0.22 | B05 | B2III/IV      |                   |
| 5671 | Gam TrA        | 15:18:55 | -68:40:46 | 2.89 |  0.00 | A05 | A1V           |                   |
| 5685 | Zubeneschamali | 15:17:00 | -09:22:59 | 2.61 | -0.11 | A05 | B8V           |                   |
| 5897 | Bet TrA        | 15:55:09 | -63:25:50 | 2.85 |  0.29 | F05 | F2III         |   155" dm=11.0    |
| 5944 | Pi  Sco        | 15:58:51 | -26:06:51 | 2.89 | -0.19 | B05 | B1V+B2V       |   0.0" dm=1.2     |
| 5984 | Bet Sco        | 16:05:26 | -19:48:20 | 2.62 | -0.07 | B05 | B1V           |    O 0.0" dm=1.3  |
| 6084 | Sig Sco        | 16:21:11 | -25:35:34 | 2.89 |  0.13 | B05 | B1III         |    O 0.0" dm=2.0  |
| 6165 | Tau Sco        | 16:35:53 | -28:12:58 | 2.82 | -0.25 | B05 | B0V           |                   |
| 6217 | Atria          | 16:48:40 | -69:01:40 | 1.92 |  1.44 | K03 | K2IIb-IIIa    |                   |
| 6241 | Eps Sco        | 16:50:10 | -34:17:36 | 2.29 |  1.15 | K03 | K2.5III       |                   |
| 6247 | Mu  Sco        | 16:51:52 | -38:02:51 | 3.08 | -0.20 | B05 | B1.5V+B6.5V   |   390" dm=0.4     |
| 6461 | Bet Ara        | 17:25:18 | -55:31:48 | 2.85 |  1.46 | K53 | K3Ib-IIa      |                   |
| 6508 | Lesath         | 17:30:46 | -37:17:45 | 2.69 | -0.22 | B05 | B2IV          |                   |
| 6510 | Alp Ara        | 17:31:51 | -49:52:34 | 2.95 | -0.17 | B05 | B2Vne         |   56" dm=8.0      |
| 6527 | Shaula         | 17:33:37 | -37:06:14 | 1.63 | -0.22 | B05 | B2IV+B        |   AC 95" dm=10.3  |
| 6553 | The Sco        | 17:37:19 | -42:59:52 | 1.87 |  0.40 | F05 | F1II          |                   |
| 6580 | Kap Sco        | 17:42:29 | -39:01:48 | 2.41 | -0.22 | B05 | B1.5III       |                   |
| 6615 | Iot1 Sco       | 17:47:35 | -40:07:37 | 3.03 |  0.51 | F05 | F2Iae         |   38" dm=9.9      |
| 6746 | Alnasl         | 18:05:49 | -30:25:27 | 2.99 |  1.00 | K03 | K0III         |                   |
| 6859 | Kaus Media     | 18:21:00 | -29:49:41 | 2.70 |  1.38 | K53 | K3-IIIa*      |   AD 58" dm=10.2  |
| 6879 | Kaus Australis | 18:24:10 | -34:23:05 | 1.85 | -0.03 | A05 | B9.5III       |   36" dm=12.3     |
| 6913 | Kaus Borealis  | 18:27:58 | -25:25:18 | 2.81 |  1.04 | K03 | K1+IIIb       |                   |
| 7121 | Nunki          | 18:55:16 | -26:17:48 | 2.02 | -0.22 | B05 | B2.5V         |   309" dm=7.4     |
| 7264 | Pi Sgr         | 19:09:46 | -21:01:25 | 2.89 |  0.35 | F05 | F2II          |   AB 0.1" dm=0.0  |
| 7790 | Peacock        | 20:25:39 | -56:44:06 | 1.94 | -0.20 | B05 | B2IV          |   AB 245" dm=7.1  |
| 8322 | Deneb Algedi   | 21:47:02 | -16:07:38 | 2.87 |  0.29 | A05 | Am            |   0.0" dm=2.0     |
| 8353 | Gam Gru        | 21:53:56 | -37:21:54 | 3.01 | -0.12 | A05 | B8III         |                   |
| 8425 | Alnair         | 22:08:14 | -46:57:40 | 1.74 | -0.13 | B55 | B7IV          |   28" dm=10.1     |
| 8502 | Alp Tuc        | 22:18:30 | -60:15:35 | 2.86 |  1.39 | K53 | K3III         |   0.1" dm=0.0     |
| 8728 | Fomalhaut      | 22:57:39 | -29:37:20 | 1.16 |  0.09 | A55 | A3V           |                   |
